ogr,libelle,libelle_type,root,root_type,context,chunk,chunk_length,chunk_index,chunk_level
100087,"Techniques de baguage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de baguage","Techniques de baguage",3,0,1
100088,"Techniques d'approche et de manipulation des animaux",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'approche et de manipulation des animaux","Techniques d'approche et de manipulation des animaux",8,0,1
100089,"Techniques d'inventaire",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'inventaire","Techniques d'inventaire",3,0,1
100090,"Techniques pédagogiques",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"pédagogiques","Techniques pédagogiques",2,0,1
100091,"Normes de sécurité des espaces et des établissements recevant du public",SAVOIRS THEORIQUES ET PROCEDURAUX,Normes,ANOUN,"de sécurité des espaces et des établissements recevant du public","Normes de sécurité des espaces et des établissements recevant du public",11,0,1
100097,"Lecture de carte",SAVOIRS THEORIQUES ET PROCEDURAUX,Lecture,ANOUN,"de carte","Lecture de carte",3,0,1
100098,"Techniques de marquage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de marquage","Techniques de marquage",3,0,1
100100,"Techniques d'élagage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'élagage","Techniques d'élagage",3,0,1
100102,"Techniques de cubage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de cubage","Techniques de cubage",3,0,1
100105,"Pathologies végétales",SAVOIRS THEORIQUES ET PROCEDURAUX,Pathologies,ANOUN,"végétales","Pathologies végétales",2,0,1
100111,"Concevoir les solutions technico-économiques (reprise d'exploitation, reconversion, ...) adaptées aux problématiques d'un site de production (environnement, pollution, rendements, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Concevoir,AVERB,"les solutions technico - économiques adaptées aux problématiques d'un site de production","concevoir les solutions technico - économiques adaptées aux problématiques d'un site de production",14,0,1
100113,"Logiciels de gestion de base de données",SAVOIRS THEORIQUES ET PROCEDURAUX,Logiciels,ANOUN,"de gestion de base de données","Logiciels de gestion de base de données",7,0,1
100114,"Agriculture biologique",SAVOIRS THEORIQUES ET PROCEDURAUX,Agriculture,ANOUN,"biologique","Agriculture biologique",2,0,1
100119,"Typologie des risques environnementaux et sanitaires",SAVOIRS THEORIQUES ET PROCEDURAUX,Typologie,ANOUN,"des risques environnementaux et sanitaires","Typologie des risques environnementaux et sanitaires",6,0,1
100120,"Procéder à des études/expérimentations",ACTIVITE DE BASE ET/OU SPECIFIQUE,Procéder,AVERB,"à des études / expérimentations","procéder à des études / expérimentations",6,0,1
100129,"Code des marchés publics",SAVOIRS THEORIQUES ET PROCEDURAUX,Code,ANOUN,"des marchés publics","Code des marchés publics",4,0,1
100130,"Caractéristiques des produits chimiques",SAVOIRS THEORIQUES ET PROCEDURAUX,Caractéristiques,ANOUN,"des produits chimiques","Caractéristiques des produits chimiques",4,0,1
100131,"Biologie végétale",SAVOIRS THEORIQUES ET PROCEDURAUX,Biologie,ANOUN,"végétale","Biologie végétale",2,0,1
100132,"Biologie animale",SAVOIRS THEORIQUES ET PROCEDURAUX,Biologie,ANOUN,"animale","Biologie animale",2,0,1
100133,"Identifier les priorités d'intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié",ACTIVITE DE BASE ET/OU SPECIFIQUE,Identifier,AVERB,"les priorités d'intervention en fonction de la planification annuelle","identifier les priorités d'intervention en fonction de la planification annuelle",11,1,1
100133,"Identifier les priorités d'intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié",ACTIVITE DE BASE ET/OU SPECIFIQUE,déterminer,AVERB,"le matériel approprié","déterminer le matériel approprié",4,0,1
100135,"Relever les données de performance individuelle des animaux (quantité et qualité du lait, prise de poids, ...)",ACTIVITE DE BASE ET/OU SPECIFIQUE,Relever,AVERB,"les données de performance individuelle des animaux","relever les données de performance individuelle des animaux",8,0,1
100136,"Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse",ACTIVITE DE BASE ET/OU SPECIFIQUE,Prélever,AVERB,"des échantillons de matières ou de produits","prélever des échantillons de matières ou de produits",8,0,1
100136,"Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse",ACTIVITE DE BASE ET/OU SPECIFIQUE,enregistrer,AVERB,"des échantillons de matières ou de produits","enregistrer des échantillons de matières ou de produits",8,2,1
100136,"Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse",ACTIVITE DE BASE ET/OU SPECIFIQUE,enregistrer,AVERB,"les pour analyse","les enregistrer pour analyse",4,3,1
100136,"Prélever des échantillons de matières ou de produits, les référencer et les enregistrer pour analyse",ACTIVITE DE BASE ET/OU SPECIFIQUE,référencer,AVERB,"des échantillons de matières ou de produits","référencer des échantillons de matières ou de produits",8,1,1
100140,"Utilisation d'outils de pesage/dosage (balance, verre doseur, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'outils de pesage / dosage","Utilisation d'outils de pesage / dosage",7,0,1
100141,"Physiologie animale",SAVOIRS THEORIQUES ET PROCEDURAUX,Physiologie,ANOUN,"animale","Physiologie animale",2,0,1
100142,"Propriétés des produits vétérinaires",SAVOIRS THEORIQUES ET PROCEDURAUX,Propriétés,ANOUN,"des produits vétérinaires","Propriétés des produits vétérinaires",4,0,1
100143,"Traçabilité des produits",SAVOIRS THEORIQUES ET PROCEDURAUX,Traçabilité,ANOUN,"des produits","Traçabilité des produits",3,0,1
100144,"Règles d'hygiène et de sécurité",SAVOIRS THEORIQUES ET PROCEDURAUX,Règles,ANOUN,"d'hygiène et de sécurité","Règles d'hygiène et de sécurité",6,0,1
100149,"Pathologies animales",SAVOIRS THEORIQUES ET PROCEDURAUX,Pathologies,ANOUN,"animales","Pathologies animales",2,0,1
100151,"Réglementation sanitaire",SAVOIRS THEORIQUES ET PROCEDURAUX,Réglementation,ANOUN,"sanitaire","Réglementation sanitaire",2,0,1
100162,"Génie rural",SAVOIRS THEORIQUES ET PROCEDURAUX,Génie,ANOUN,"rural","Génie rural",2,0,1
100170,"Techniques d'éclaircissage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'éclaircissage","Techniques d'éclaircissage",3,0,1
100205,"Lecture de carte marine",SAVOIRS THEORIQUES ET PROCEDURAUX,Lecture,ANOUN,"de carte marine","Lecture de carte marine",4,0,1
100213,"Utilisation de matériel de levage",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de matériel de levage","Utilisation de matériel de levage",5,0,1
100215,"Circuits de distribution commerciale",SAVOIRS THEORIQUES ET PROCEDURAUX,Circuits,ANOUN,"de distribution commerciale","Circuits de distribution commerciale",4,0,1
100230,"Utilisation d'alcoomètre",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'alcoomètre","Utilisation d'alcoomètre",3,0,1
100232,"Spécificités de stockage des vins",SAVOIRS THEORIQUES ET PROCEDURAUX,Spécificités,ANOUN,"de stockage des vins","Spécificités de stockage des vins",5,0,1
100234,"Techniques d'embouteillage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'embouteillage","Techniques d'embouteillage",3,0,1
100236,"Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle",ACTIVITE DE BASE ET/OU SPECIFIQUE,Définir,AVERB,"la route du navire et les paramètres sur les instruments de pilotage et de contrôle","définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle",16,0,1
100238,"Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation",ACTIVITE DE BASE ET/OU SPECIFIQUE,Surveiller,AVERB,"la route du bateau","surveiller la route du bateau",5,0,1
100238,"Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation",ACTIVITE DE BASE ET/OU SPECIFIQUE,ajuster,AVERB,"les paramètres de navigation","ajuster les paramètres de navigation",5,2,1
100238,"Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation",ACTIVITE DE BASE ET/OU SPECIFIQUE,identifier,AVERB,"les écarts","identifier les écarts",3,1,1
100239,"Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"les manoeuvres du navire et les opérations de pêche","réaliser les manoeuvres du navire et les opérations de pêche",10,0,1
100239,"Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche",ACTIVITE DE BASE ET/OU SPECIFIQUE,contrôler,AVERB,"les manoeuvres du navire et les opérations de pêche","contrôler les manoeuvres du navire et les opérations de pêche",10,3,1
100239,"Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche",ACTIVITE DE BASE ET/OU SPECIFIQUE,manoeuvres,ANOUN,"du navire","manoeuvres du navire",3,1,2
100239,"Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche",ACTIVITE DE BASE ET/OU SPECIFIQUE,opérations,ANOUN,"de pêche","opérations de pêche",3,2,2
100240,"Sécuriser l'embarcation (contrôle des équipements, identification des risques d'avarie) et mettre en oeuvre des moyens palliatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,Sécuriser,AVERB,"l'embarcation","sécuriser l'embarcation",3,0,1
100240,"Sécuriser l'embarcation (contrôle des équipements, identification des risques d'avarie) et mettre en oeuvre des moyens palliatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,mettre,AVERB,"en oeuvre des moyens palliatifs","mettre en oeuvre des moyens palliatifs",6,1,1
100243,"Utilisation d'équipement de secours et de sauvetage",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'équipement de secours et de sauvetage","Utilisation d'équipement de secours et de sauvetage",8,0,1
100244,"Typologie des navires",SAVOIRS THEORIQUES ET PROCEDURAUX,Typologie,ANOUN,"des navires","Typologie des navires",3,0,1
100246,"Règles de sécurité maritime",SAVOIRS THEORIQUES ET PROCEDURAUX,Règles,ANOUN,"de sécurité maritime","Règles de sécurité maritime",4,0,1
100248,"Droit maritime",SAVOIRS THEORIQUES ET PROCEDURAUX,Droit,ANOUN,"maritime","Droit maritime",2,0,1
100249,"Économie des pêches",SAVOIRS THEORIQUES ET PROCEDURAUX,Économie,ANOUN,"des pêches","Économie des pêches",3,0,1
100251,"Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de matériel de signalisation et de sécurité","Utilisation de matériel de signalisation et de sécurité",8,0,1
100252,"Langage Morse",SAVOIRS THEORIQUES ET PROCEDURAUX,Langage,ANOUN,"Morse","Langage Morse",2,0,1
100256,"Dispenser les soins préventifs ou curatifs aux animaux",ACTIVITE DE BASE ET/OU SPECIFIQUE,Dispenser,AVERB,"les soins préventifs ou curatifs aux animaux","dispenser les soins préventifs ou curatifs aux animaux",8,0,1
100256,"Dispenser les soins préventifs ou curatifs aux animaux",ACTIVITE DE BASE ET/OU SPECIFIQUE,soins,ANOUN,"préventifs ou curatifs aux animaux","soins préventifs ou curatifs aux animaux",6,1,2
100259,"Utilisation de matériel de nettoyage",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"de matériel de nettoyage","Utilisation de matériel de nettoyage",5,0,1
100262,"Procédures de nettoyage et de désinfection",SAVOIRS THEORIQUES ET PROCEDURAUX,Procédures,ANOUN,"de nettoyage et de désinfection","Procédures de nettoyage et de désinfection",6,0,1
100263,"Réaliser des déplacements nécessitant un certificat de transport d'animaux vivants",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"des déplacements nécessitant un certificat de transport d'animaux vivants","réaliser des déplacements nécessitant un certificat de transport d'animaux vivants",11,0,1
100264,"Potentiel généalogique",SAVOIRS THEORIQUES ET PROCEDURAUX,Potentiel,ANOUN,"généalogique","Potentiel généalogique",2,0,1
100266,"Méthodes d'insémination",SAVOIRS THEORIQUES ET PROCEDURAUX,Méthodes,ANOUN,"d'insémination","Méthodes d'insémination",3,0,1
100269,"Procédures de traite",SAVOIRS THEORIQUES ET PROCEDURAUX,Procédures,ANOUN,"de traite","Procédures de traite",3,0,1
100271,"Techniques de toilettage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de toilettage","Techniques de toilettage",3,0,1
100272,"Techniques de maréchalerie",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de maréchalerie","Techniques de maréchalerie",3,0,1
100280,"Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...) et réaliser la maintenance de premier niveau des installations",ACTIVITE DE BASE ET/OU SPECIFIQUE,Vérifier,AVERB,"l'état de fonctionnement des équipements","vérifier l'état de fonctionnement des équipements",7,0,1
100280,"Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...) et réaliser la maintenance de premier niveau des installations",ACTIVITE DE BASE ET/OU SPECIFIQUE,maintenance,ANOUN,"de premier niveau des installations","maintenance de premier niveau des installations",6,2,2
100280,"Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...) et réaliser la maintenance de premier niveau des installations",ACTIVITE DE BASE ET/OU SPECIFIQUE,réaliser,AVERB,"la maintenance de premier niveau des installations","réaliser la maintenance de premier niveau des installations",8,1,1
100286,"Techniques de soudure",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de soudure","Techniques de soudure",3,0,1
100290,"Modalités de stockage",SAVOIRS THEORIQUES ET PROCEDURAUX,Modalités,ANOUN,"de stockage","Modalités de stockage",3,0,1
100295,"Préparer les aliments et les distribuer aux animaux",ACTIVITE DE BASE ET/OU SPECIFIQUE,Préparer,AVERB,"les aliments","préparer les aliments",3,0,1
100295,"Préparer les aliments et les distribuer aux animaux",ACTIVITE DE BASE ET/OU SPECIFIQUE,distribuer,AVERB,"aux animaux","distribuer aux animaux",3,1,2
100295,"Préparer les aliments et les distribuer aux animaux",ACTIVITE DE BASE ET/OU SPECIFIQUE,distribuer,AVERB,"les aux animaux","les distribuer aux animaux",4,2,1
100298,"Procédés d'accouvage",SAVOIRS THEORIQUES ET PROCEDURAUX,Procédés,ANOUN,"d'accouvage","Procédés d'accouvage",3,0,1
100300,"Répartir les animaux dans des locaux d'élevage ou en plein air",ACTIVITE DE BASE ET/OU SPECIFIQUE,Répartir,AVERB,"les animaux dans des locaux d'élevage ou en plein air","répartir les animaux dans des locaux d'élevage ou en plein air",12,0,1
100302,"Techniques de contention animale",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de contention animale","Techniques de contention animale",4,0,1
100303,"Modalités de transport d'animaux",SAVOIRS THEORIQUES ET PROCEDURAUX,Modalités,ANOUN,"de transport d'animaux","Modalités de transport d'animaux",5,0,1
100304,"Procédure de traite",SAVOIRS THEORIQUES ET PROCEDURAUX,Procédure,ANOUN,"de traite","Procédure de traite",3,0,1
100305,"Techniques d'arrosage",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"d'arrosage","Techniques d'arrosage",3,0,1
100307,"Prélever les semences des verrats et les analyser en laboratoire",ACTIVITE DE BASE ET/OU SPECIFIQUE,Prélever,AVERB,"les semences des verrats","prélever les semences des verrats",5,0,1
100307,"Prélever les semences des verrats et les analyser en laboratoire",ACTIVITE DE BASE ET/OU SPECIFIQUE,analyser,AVERB,"les en laboratoire","les analyser en laboratoire",4,2,1
100307,"Prélever les semences des verrats et les analyser en laboratoire",ACTIVITE DE BASE ET/OU SPECIFIQUE,analyser,AVERB,"les semences des verrats","analyser les semences des verrats",5,1,1
100310,"Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"le diagnostic de santé ou de gestation de l'animal","réaliser le diagnostic de santé ou de gestation de l'animal",11,0,1
100310,"Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,diagnostic,ANOUN,"de santé ou de gestation de l'animal","diagnostic de santé ou de gestation de l'animal",9,2,2
100310,"Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,dispenser,AVERB,"les soins préventifs ou curatifs","dispenser les soins préventifs ou curatifs",6,1,1
100310,"Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs",ACTIVITE DE BASE ET/OU SPECIFIQUE,soins,ANOUN,"préventifs ou curatifs","soins préventifs ou curatifs",4,3,2
100311,"Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés",ACTIVITE DE BASE ET/OU SPECIFIQUE,assister,AVERB,"les animaux lors des mises bas","assister les animaux lors des mises bas",7,0,1
100314,"Procéder au caillage du lait après sa mise en cuve",ACTIVITE DE BASE ET/OU SPECIFIQUE,Procéder,AVERB,"après sa mise en cuve","procéder après sa mise en cuve",6,0,1
100314,"Procéder au caillage du lait après sa mise en cuve",ACTIVITE DE BASE ET/OU SPECIFIQUE,mise,ANOUN,"en cuve","mise en cuve",3,1,2
100318,"Emprésurage du lait",SAVOIRS THEORIQUES ET PROCEDURAUX,Emprésurage,ANOUN,"du lait","Emprésurage du lait",3,0,1
100319,"Pressage manuel du caillé",SAVOIRS THEORIQUES ET PROCEDURAUX,Pressage,ANOUN,"manuel du caillé","Pressage manuel du caillé",4,0,1
100320,"Salage manuel",SAVOIRS THEORIQUES ET PROCEDURAUX,Salage,ANOUN,"manuel","Salage manuel",2,0,1
100321,"Utilisation d'instruments de mesure (hygromètre, PH-mètre, ...)",SAVOIRS THEORIQUES ET PROCEDURAUX,Utilisation,ANOUN,"d'instruments de mesure","Utilisation d'instruments de mesure",5,0,1
100322,"Découpe manuelle de fromage",SAVOIRS THEORIQUES ET PROCEDURAUX,Découpe,ANOUN,"manuelle de fromage","Découpe manuelle de fromage",4,0,1
100339,"Composition de plateaux de fromages",SAVOIRS THEORIQUES ET PROCEDURAUX,Composition,ANOUN,"de plateaux de fromages","Composition de plateaux de fromages",5,0,1
100340,"Techniques de vente",SAVOIRS THEORIQUES ET PROCEDURAUX,Techniques,ANOUN,"de vente","Techniques de vente",3,0,1
100341,"Procédures d'encaissement",SAVOIRS THEORIQUES ET PROCEDURAUX,Procédures,ANOUN,"d'encaissement","Procédures d'encaissement",3,0,1
100343,"Législation sociale",SAVOIRS THEORIQUES ET PROCEDURAUX,Législation,ANOUN,"sociale","Législation sociale",2,0,1
100347,"Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière, ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,Réaliser,AVERB,"la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière","réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière",23,0,1
100347,"Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière, ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,mise,ANOUN,"en fûts ou en bouteilles du vin, du cidre, de la bière","mise en fûts ou en bouteilles du vin, du cidre, de la bière",15,1,1
100347,"Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage du vin, du cidre, de la bière, ...",ACTIVITE DE BASE ET/OU SPECIFIQUE,étiquetage,ANOUN,"du vin, du cidre, de la bière","étiquetage du vin, du cidre, de la bière",10,2,2
